"","pval","qval","gene","lineage"
"H1f0",0.659738343858008,0.991342364925632,"H1f0",1
"Slc45a3",0.164950190015966,0.358377352376807,"Slc45a3",1
"Adgre4",3.99133184390094e-30,6.14051052907836e-29,"Adgre4",1
"Cd14",0.00186156358314711,0.00622596516102712,"Cd14",1
"Asf1b",0.861590003651433,0.999838547650833,"Asf1b",1
"Dhfr",0.882857774725107,0.999838547650833,"Dhfr",1
"Ldhb",1.26760046294143e-13,9.86459504234578e-13,"Ldhb",1
"Tmpo",0.314859507712056,0.613761223610246,"Tmpo",1
"Rhob",0.656373095788438,0.990004669364159,"Rhob",1
"Hic1",0.102049374439657,0.237600406145885,"Hic1",1
"Nabp1",0.000120182315787667,0.000475028916156788,"Nabp1",1
"Csrp1",8.78626096867864e-05,0.000354284716478977,"Csrp1",1
"Pcna",0.869145216410454,0.999838547650833,"Pcna",1
"Igtp",8.30247124451177e-11,5.3737677958005e-10,"Igtp",1
"Nrp2",0.169456992150762,0.367187415277923,"Nrp2",1
"Arrdc3",0.0102976149679909,0.029978500634617,"Arrdc3",1
"Prdm1",0.015667790034527,0.0443846743187734,"Prdm1",1
"Tspan33",0.367838043277102,0.688835287035771,"Tspan33",1
"Ell2",0.338397698851041,0.648271453737627,"Ell2",1
"Gpr34",1.45146951393098e-10,9.24502875115275e-10,"Gpr34",1
"Gbp7",1.43613139223652e-06,6.69525124585791e-06,"Gbp7",1
"Pgam1",0.501385698157418,0.85101974584898,"Pgam1",1
"Prc1",0.979017339571485,0.999838547650833,"Prc1",1
"Dab2",1.19893607811421e-18,1.16969373474557e-17,"Dab2",1
"Mir155hg",0.958370439175447,0.999838547650833,"Mir155hg",1
"Ezh2",0.42326844156657,0.761381228902031,"Ezh2",1
"Slfn1",6.8057372394189e-08,3.57256548000992e-07,"Slfn1",1
"Pim3",0.704285595045751,0.999838547650833,"Pim3",1
"Tns1",0.000328758321763008,0.00123593354046244,"Tns1",1
"Fbxo5",0.991180538380571,0.999838547650833,"Fbxo5",1
"Art2b",0.00937732816261765,0.0277435744456144,"Art2b",1
"Bub1",0.910629702475309,0.999838547650833,"Bub1",1
"Tyms",0.621663065813499,0.970469534410746,"Tyms",1
"Nlrp3",0.101189174691963,0.236147432186611,"Nlrp3",1
"Ranbp1",0.13371404263676,0.300480994689348,"Ranbp1",1
"Mmp14",2.26882710054078e-09,1.36676331357878e-08,"Mmp14",1
"Prim1",0.520479239865664,0.868703164489267,"Prim1",1
"Trib1",0.00615007236653885,0.0186365829289056,"Trib1",1
"Slc15a2",0.283530827882512,0.564240453497536,"Slc15a2",1
"Klf10",0.002488400345097,0.00810553858337786,"Klf10",1
"Nes",0.940765954460544,0.999838547650833,"Nes",1
"Sh3bp5",6.40399511006732e-12,4.46271436241625e-11,"Sh3bp5",1
"Fosb",2.41487104645486e-13,1.84341301256096e-12,"Fosb",1
"Pde4b",1.58365071363588e-05,6.82608066222361e-05,"Pde4b",1
"Rpa2",0.742696765428779,0.999838547650833,"Rpa2",1
"Ptafr",0.00762696842609922,0.0228352348086803,"Ptafr",1
"Socs2",0.0026199545729476,0.00852017747300032,"Socs2",1
"Nasp",0.434052597223894,0.775093923614097,"Nasp",1
"Pdgfb",4.86514403764879e-09,2.85233930488482e-08,"Pdgfb",1
"Slco2b1",4.7441381065346e-14,3.79531048522768e-13,"Slco2b1",1
"Dot1l",0.651596196017917,0.985818833993927,"Dot1l",1
"Gm4951",3.26629224000921e-06,1.47796028959693e-05,"Gm4951",1
"Nfil3",0.0790913930403294,0.190352329820287,"Nfil3",1
"Add3",0.136809911373223,0.305720472342397,"Add3",1
"Gch1",0.154098048584449,0.33793431707116,"Gch1",1
"Pla2g16",9.26898896291928e-09,5.20729717017937e-08,"Pla2g16",1
"Txn1",4.46451444508104e-16,4.0220850856586e-15,"Txn1",1
"Slc2a6",0.440944484506535,0.783205123457434,"Slc2a6",1
"Fpr1",6.60399507178356e-11,4.3022769197287e-10,"Fpr1",1
"Cyp4f18",2.4829879163835e-17,2.30975620128697e-16,"Cyp4f18",1
"Creb5",0.00146312641893603,0.00499360552537895,"Creb5",1
"Basp1",2.85918231041666e-20,3.09100790315315e-19,"Basp1",1
"Cks1b",0.625321968505677,0.972150268410697,"Cks1b",1
"Sept11",0.418449411159695,0.756689712766176,"Sept11",1
