"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Magoh",0.00956151712650295,-0.172324060361842,0.549,0.607,1,"C","Magoh"
"Ptprb",0.00958361623964758,1.09188763515134,0.039,0.02,1,"C","Ptprb"
"Cyp20a1.2",0.00963067051061471,-0.211076503662214,0.293,0.35,1,"C","Cyp20a1"
"Tle2.1",0.00966717816626675,1.13844075187691,0.039,0.02,1,"C","Tle2"
"Bbip1.2",0.00968912845503201,0.185144285384766,0.572,0.513,1,"C","Bbip1"
"Cenpl",0.00970257523055921,-0.660875331488235,0.066,0.102,1,"C","Cenpl"
"Guf1.2",0.00972164006677793,-0.37196612730207,0.145,0.194,1,"C","Guf1"
"Gm45767",0.00972436883077665,2.313238704891,0.012,0.003,1,"C","Gm45767"
"Prtn3.2",0.00972618589224626,-0.243380540108574,0.094,0.137,1,"C","Prtn3"
"Smim19",0.00973690881819484,-0.2560677774199,0.304,0.356,1,"C","Smim19"
"Sox18",0.00973874907219199,2.36618482167159,0.012,0.003,1,"C","Sox18"
"Taf3.2",0.00976317158294817,-0.321947320221298,0.289,0.339,1,"C","Taf3"
"2310011J03Rik.2",0.0097886802731267,-0.21778861948529,0.563,0.587,1,"C","2310011J03Rik"
"Lcat",0.00979645975176388,2.17877229271673,0.012,0.003,1,"C","Lcat"
"Ghr",0.00979645975176388,2.25548986781735,0.012,0.003,1,"C","Ghr"
"Fancf",0.00980948766524603,-0.964450433757762,0.017,0.041,1,"C","Fancf"
"Gbp6.1",0.00982497039558657,0.395202291550445,0.089,0.058,1,"C","Gbp6"
"Zfp157",0.00982642325597728,0.320356107981802,0.181,0.135,1,"C","Zfp157"
"Mpv17l2.2",0.00984023941789805,-0.249916955961385,0.453,0.503,1,"C","Mpv17l2"
"Dtwd1.2",0.0098527809525779,-0.592992900488424,0.081,0.12,1,"C","Dtwd1"
"Serpinh1.2",0.00987753086925357,0.713042089088333,0.04,0.021,1,"C","Serpinh1"
"Gm11707.2",0.00987852980903344,-1.17526671630444,0.025,0.051,1,"C","Gm11707"
"Clasrp",0.00988628688456068,-0.639127525750902,0.11,0.152,1,"C","Clasrp"
"Aass",0.00988848332762641,2.54849650430216,0.01,0.002,1,"C","Aass"
"Xpot",0.00989627389400138,0.234219310114987,0.387,0.327,1,"C","Xpot"
"Car3",0.0099051182993092,2.90429784091402,0.01,0.002,1,"C","Car3"
"Arhgef25",0.00991279616581579,1.9926867574273,0.012,0.003,1,"C","Arhgef25"
